Name,ID,Latitude,Logitude,Elevation,Country,Network,Archive_Begin,Archive_End,Time_Domain
Aberdeen,EGPD,57.2049,-2.2053,65.0,GB,GB__ASOS,1928-01-01,,(1928-Now)
Alderney,EGJA,49.7061,-2.2147,71.0,GB,GB__ASOS,1987-06-29,,(1987-Now)
Angelsey,EGOV,53.2527,-4.5365,11.0,GB,GB__ASOS,1928-01-01,,(1928-Now)
Barkston Heath,EGYE,52.9622,-0.5616,112.0,GB,GB__ASOS,1995-11-29,,(1995-Now)
Belfast,EGAC,54.6135,-5.8735,5.0,GB,GB__ASOS,1973-01-01,,(1973-Now)
Belfast,EGAA,54.6633,-6.2258,81.0,GB,GB__ASOS,1930-02-28,,(1930-Now)
Benbecula,EGPL,57.4811,-7.3628,6.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Benson,EGUB,51.6202,-1.0987,63.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Biggin Hill,EGKB,51.3308,0.0325,183.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Birmingham,EGBB,52.4602,-1.7576,99.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Blackpool,EGNH,53.7744,-3.0394,10.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Boscombe Down,EGDM,51.1618,-1.7546,124.0,GB,GB__ASOS,1931-01-01,,(1931-Now)
BOULMER,EGQM,55.4209,-1.6012,23.0,GB,GB__ASOS,1975-09-30,,(1975-Now)
Bournemouth,EGHH,50.7794,-1.8362,11.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Bristol,EGGD,51.3827,-2.7191,189.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Bristol,EGTG,51.5194,-2.5908,69.0,GB,GB__ASOS,1994-07-18,2012-12-21,(1994-2012)
Brize Norton,EGVN,51.7585,-1.578,88.0,GB,GB__ASOS,1951-07-31,,(1951-Now)
Caernarfon,EGCK,53.1042,-4.3403,4.0,GB,GB__ASOS,2017-09-30,,(2017-Now)
Cambridge,EGSC,52.205,0.175,15.0,GB,GB__ASOS,1977-02-01,,(1977-Now)
Campbeltown,EGEC,55.4372,-5.6864,13.0,GB,GB__ASOS,1999-01-18,,(1999-Now)
Cardiff,EGFF,51.3967,-3.3433,67.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Carlisle,EGNC,54.9387,-2.8088,26.0,GB,GB__ASOS,1972-12-31,2020-03-27,(1972-2020)
Church Fenton,EGXG,53.8333,-1.2,9.0,GB,GB__ASOS,1972-12-31,2013-12-19,(1972-2013)
COLERNE,EGUO,51.4391,-2.2864,13.0,GB,GB__ASOS,1942-03-31,2019-02-14,(1942-2019)
Coningsby,EGXC,53.0939,-0.1729,7.0,GB,GB__ASOS,1943-07-31,,(1943-Now)
Cosford,EGWC,52.64,-2.3056,83.0,GB,GB__ASOS,1994-08-31,,(1994-Now)
Coventry,EGBE,52.3697,-1.4797,82.0,GB,GB__ASOS,1988-01-05,2017-07-18,(1988-2017)
Cranfield,EGTC,52.0722,-0.6167,111.0,GB,GB__ASOS,1990-02-08,,(1990-Now)
Cranwell,EGYD,53.0317,-0.5047,67.0,GB,GB__ASOS,1929-07-31,,(1929-Now)
Culdrose,EGDR,50.0843,-5.2571,82.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Dishforth,EGXD,54.1333,-1.4167,35.0,GB,GB__ASOS,1992-04-30,2016-06-06,(1992-2016)
Doncaster  Sheffield,EGCN,53.4747,-1.0044,17.0,GB,GB__ASOS,2005-05-07,,(2005-Now)
DONNA NOOK RAF,EGXS,53.4749,0.1521,22.0,GB,GB__ASOS,2010-11-24,,(2010-Now)
Dundee,EGPN,56.4525,-3.0258,4.0,GB,GB__ASOS,1983-04-04,,(1983-Now)
East Midlands,EGNX,52.8311,-1.3281,94.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Edinburgh,EGPH,55.95,-3.35,41.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Exeter,EGTE,50.7372,-3.4058,30.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Fairford,EGVA,51.6822,-1.79,87.0,GB,GB__ASOS,1952-06-09,,(1952-Now)
Farnborough,EGLF,51.28,-0.7727,65.0,GB,GB__ASOS,1988-04-30,,(1988-Now)
Glasgow,EGPF,55.8719,-4.4331,8.0,GB,GB__ASOS,1929-10-01,,(1929-Now)
Golouchestershire,EGBJ,51.8923,-2.1608,29.0,GB,GB__ASOS,1977-10-01,,(1977-Now)
Guernsey,EGJB,49.4331,-2.5981,102.0,GB,GB__ASOS,1929-09-30,,(1929-Now)
Hawarden,EGNR,53.1747,-2.9872,10.0,GB,GB__ASOS,1985-09-04,,(1985-Now)
HOLBEACH (AUT),EGYH,52.8733,0.1385,3.0,GB,GB__ASOS,1964-07-13,,(1964-Now)
Humberside,EGNJ,53.5744,-0.3508,31.0,GB,GB__ASOS,1975-01-09,,(1975-Now)
Inverness,EGPE,57.5425,-4.0475,9.0,GB,GB__ASOS,1973-01-02,,(1973-Now)
Islay,EGPI,55.6819,-6.2567,18.0,GB,GB__ASOS,1988-01-07,,(1988-Now)
Isle Of Man,EGNS,54.0833,-4.6333,17.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Jersey,EGJJ,49.2096,-2.1943,84.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Kinloss,EGQK,57.6456,-3.5635,7.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Kirkwall,EGPA,58.9536,-2.9014,21.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Lakenheath,EGUL,52.4093,0.561,10.0,GB,GB__ASOS,1949-04-30,,(1949-Now)
Land's End,EGHC,50.1028,-5.6706,117.96032,GB,GB__ASOS,1973-03-07,,(1973-Now)
LECONFIELD (AUT),EGXV,53.8758,-0.435,6.0,GB,GB__ASOS,1973-01-01,,(1973-Now)
Leeds,EGNM,53.8618,-1.6653,208.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Leeming,EGXE,54.2969,-1.5331,40.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Leuchars,EGQL,56.3774,-2.8624,12.0,GB,GB__ASOS,1929-10-01,,(1929-Now)
Linton-on-ouse,EGXU,54.0452,-1.2511,16.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Liverpool,EGGP,53.3333,-2.85,26.0,GB,GB__ASOS,1990-04-24,,(1990-Now)
London,EGSS,51.8812,0.2232,106.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
London,EGGW,51.8747,-0.3683,160.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
London,EGLC,51.5053,0.0553,5.0,GB,GB__ASOS,1988-01-29,,(1988-Now)
London,EGKK,51.1481,-0.1903,62.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
London,EGLL,51.4785,-0.4614,26.786364,GB,GB__ASOS,1948-11-30,,(1948-Now)
Londonderry,EGAE,55.0428,-7.1611,9.0,GB,GB__ASOS,1990-04-24,,(1990-Now)
Lossiemouth,EGQS,57.7114,-3.3235,13.0,GB,GB__ASOS,1973-01-03,,(1973-Now)
Lydd,EGMD,50.9561,0.9392,3.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Lyneham,EGDL,51.5032,-1.9924,156.0,GB,GB__ASOS,1972-12-31,2013-06-21,(1972-2013)
Manchester,EGCC,53.3537,-2.275,78.0,GB,GB__ASOS,1933-09-30,,(1933-Now)
Manston,EGMH,51.3422,1.3461,55.0,GB,GB__ASOS,1930-02-28,2014-05-15,(1930-2014)
Marham,EGYM,52.6483,0.567,23.0,GB,GB__ASOS,1949-03-31,,(1949-Now)
MIDDLE WALLOP,EGVP,51.1394,-1.5686,91.0,GB,GB__ASOS,1973-08-09,,(1973-Now)
Mildenhall,EGUN,52.3619,0.4864,10.0,GB,GB__ASOS,1950-07-14,,(1950-Now)
Newcastle,EGNT,55.0375,-1.6917,81.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Newquai,EGHQ,50.4406,-4.9954,119.0,GB,GB__ASOS,2010-08-03,,(2010-Now)
North Connel,EGEO,56.4635,-5.3997,6.0,GB,GB__ASOS,1978-09-01,,(1978-Now)
NORTH DENES AIRPORT,EGSD,52.6344,1.7228,2.0,GB,GB__ASOS,2010-07-26,2015-04-30,(2010-2015)
Northolt,EGWU,51.55,-0.4167,40.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Norwich,EGSH,52.6333,1.3,36.0,GB,GB__ASOS,1987-12-01,,(1987-Now)
Odiham,EGVO,51.2391,-0.945,123.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Oxford,EGTK,51.8369,-1.32,79.21229,GB,GB__ASOS,2014-07-02,,(2014-Now)
PEMBRY SANDS,EGOP,51.7167,-4.3667,6.0,GB,GB__ASOS,1993-02-28,,(1993-Now)
Penzance,EGHK,50.1282,-5.5186,4.0,GB,GB__ASOS,2005-01-05,2012-10-31,(2005-2012)
Plymouth,EGHD,50.4228,-4.1097,25.0,GB,GB__ASOS,1988-03-18,2012-01-04,(1988-2012)
Prestwick,EGPK,55.5094,-4.5867,20.0,GB,GB__ASOS,1943-12-31,,(1943-Now)
RAF Coltishall,EGYC,52.7547,1.3572,23.0,GB,GB__ASOS,2002-11-11,2006-03-31,(2002-2006)
Saint Mawgan,EGDG,50.4385,-4.9976,102.0,GB,GB__ASOS,2000-01-07,2008-12-01,(2000-2008)
Scampton,EGXP,53.3069,-0.5481,61.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Scatsta,EGPM,60.4328,-1.2961,22.0,GB,GB__ASOS,1981-10-15,2020-07-01,(1981-2020)
SCILLY/ST.MARYS,EGHE,49.9144,-6.2958,31.0,GB,GB__ASOS,1928-01-01,,(1928-Now)
Shawbury,EGOS,52.7947,-2.6647,76.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Shoreham By Sea,EGKA,50.8353,-0.2943,2.0,GB,GB__ASOS,1986-12-01,,(1986-Now)
Southampton,EGHI,50.955,-1.3561,10.719363,GB,GB__ASOS,1972-12-31,,(1972-Now)
Southend,EGMC,51.5714,0.6956,15.0,GB,GB__ASOS,1988-01-05,,(1988-Now)
Spadeadam,EGOM,55.05,-2.55,325.0,GB,GB__ASOS,1992-09-11,,(1992-Now)
St. Athan,EGDX,51.4058,-3.4348,50.0,GB,GB__ASOS,2001-07-06,2019-04-01,(2001-2019)
Stornoway,EGPO,58.2156,-6.3311,13.0,GB,GB__ASOS,1929-09-30,,(1929-Now)
Sumburgh,EGPB,59.8789,-1.2956,5.0,GB,GB__ASOS,1977-01-19,,(1977-Now)
TAIN RANGE (SAWS),EGQA,57.8249,-3.9555,4.0,GB,GB__ASOS,1989-10-19,,(1989-Now)
Teesside,EGNV,54.5092,-1.4294,37.0,GB,GB__ASOS,1973-01-01,,(1973-Now)
Tiree,EGPU,56.5,-6.8806,12.0,GB,GB__ASOS,1929-10-01,,(1929-Now)
Topcliffe,EGXZ,54.2055,-1.3821,28.0,GB,GB__ASOS,1994-07-20,,(1994-Now)
Unknown,EGMW,56.3592,-1.4941,-63.0,GB,GB__ASOS,2016-01-08,2017-07-31,(2016-2017)
Waddington,EGXW,53.1754,-0.5233,70.0,GB,GB__ASOS,1950-09-25,,(1950-Now)
Warton,EGNO,53.7451,-2.8831,17.0,GB,GB__ASOS,2011-11-30,,(2011-Now)
Wattisham,EGUW,52.1239,0.9573,87.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Wick,EGPC,58.4589,-3.0931,39.0,GB,GB__ASOS,1929-09-30,,(1929-Now)
Wittering,EGXT,52.6114,-0.4612,84.0,GB,GB__ASOS,1973-02-28,,(1973-Now)
Woodvale,EGOW,53.5816,-3.0555,12.0,GB,GB__ASOS,2005-06-20,,(2005-Now)
Wyton,EGUY,52.3572,-0.1078,41.0,GB,GB__ASOS,1950-10-02,2019-11-18,(1950-2019)
Yeovilton,EGDY,51.0063,-2.6428,23.0,GB,GB__ASOS,1972-12-31,,(1972-Now)
Yorkshire and Humberside,EGSY,53.3943,-1.3885,68.423706,GB,GB__ASOS,2020-07-21,,(2020-Now)
